id,name,synonyms
be00d616-1088-4d76-b552-69cdd7b546ae,Camylofin,Camylofin 50mg + Diclofenac 50mg|Camylofin 25mg + Diclofenac 25mg|Camylofin 20mg/ml|Camylofin 12.5mg/5ml + Paracetamol 125mg/5ml|Camylofin 25mg + Paracetamol 300mg|Camylofin 50mg + Mefenamic Acid 250mg|Camylofin 25mg|Camylofin 50mg + Paracetamol 325mg|Camylofin 12mg + Paracetamol 125mg|Camylofin 50mg|Camylofin 25mg + Mefenamic Acid 250mg
8bdc487a-51d5-4377-bdbf-b5b62f78e799,Dextromethorphan Hydrobromide,Dextromethorphan Hydrobromide 10mg/5ml + Guaifenesin 50mg/5ml|Dextromethorphan Hydrobromide 15mg|Dextromethorphan Hydrobromide 7.5mg/5ml|Dextromethorphan Hydrobromide 4mg/5ml + Guaifenesin 10mg/5ml|Dextromethorphan Hydrobromide 10mg + Chlorpheniramine Maleate 2mg|Dextromethorphan Hydrobromide 30mg|Dextromethorphan Hydrobromide 10mg/5ml + Guaifenesin 100mg/5ml|Dextromethorphan Hydrobromide 7.5mg/5ml + Pseudoephedrine 15mg/5ml|Dextromethorphan Hydrobromide 15mg/5ml + Guaifenesin 100mg/5ml|Dextromethorphan Hydrobromide NA + Phenylephrine NA|Dextromethorphan Hydrobromide 10mg + Chlorpheniramine Maleate 4mg|Dextromethorphan Hydrobromide NA + Guaifenesin NA|Dextromethorphan Hydrobromide 5mg|Dextromethorphan Hydrobromide 10mg + Triprolidine 1.25mg|Dextromethorphan Hydrobromide 10mg + Menthol 1.5mg|Dextromethorphan Hydrobromide 10mg/10ml + Chlorpheniramine Maleate 2mg/10ml|Dextromethorphan Hydrobromide 10mg + Menthol 3.75mg|Dextromethorphan Hydrobromide 10mg + Diphenhydramine 8mg|Dextromethorphan Hydrobromide 15mg + Phenylephrine 5mg|Dextromethorphan Hydrobromide 5mg/5ml + Chlorpheniramine Maleate 2mg/5ml
cbd5ec18-7470-4f27-ad4c-5cd3025a5298,Acebrophylline,Acebrophylline 100mg + Acetylcysteine 600mg|Acebrophylline 200mg + Fexofenadine 120mg|Acebrophylline 100mg|Acebrophylline 200mg + Montelukast 10mg|Acebrophylline 50mg|Acebrophylline 50mg + Desloratadine 2.5mg|Acebrophylline 50mg + Terbutaline 1.25mg|Acebrophylline 200mg + Desloratadine 5mg|Acebrophylline 200mg|Acebrophylline 50mg + Montelukast 4mg|Acebrophylline 50mg/5ml|Acebrophylline 100mg/5ml|Acebrophylline 50mg/5ml + Terbutaline 1.25mg/5ml|Acebrophylline 100mg + Acetylcysteine 60mg|Acebrophylline 10mg/ml|Acebrophylline 50mg + Acetylcysteine 600mg|Acebrophylline 10mg/5ml
218d665e-02d7-4d1c-ad9a-10a802f4e3e3,Erythromycin,Erythromycin 125mg|Erythromycin NA + Bromhexine NA|Erythromycin 333mg|Erythromycin NA|Erythromycin 2%|Erythromycin 0.025%|Erythromycin 20mg|Erythromycin 50mg|Erythromycin 100mg|Erythromycin 10mg|Erythromycin 3% w/w|Erythromycin 150mg|Erythromycin 4% w/w|Erythromycin 250mg|Erythromycin 500mg|Erythromycin 125mg/5ml|Erythromycin 1%
f5e87a00-c934-490c-89d4-a91851293320,Guaifenesin,Guaifenesin 50mg + Ammonium Chloride 100mg|Guaifenesin 25mg + Terbutaline 1.25mg|Guaifenesin 8mg/5ml + Terbutaline 1.25mg/5ml|Guaifenesin 50mg + Dextromethorphan Hydrobromide 10mg|Guaifenesin 100mg/10ml + Terbutaline 2.5mg/10ml|Guaifenesin 50mg/5ml + Terbutaline 2.5mg/5ml|Guaifenesin 50mg + Terbutaline 25mg|Guaifenesin NA + Phenylephrine NA|Guaifenesin 50mg + Chlorpheniramine Maleate 2.5mg|Guaifenesin 50mg + Ambroxol 15mg|Guaifenesin 50mg + Terbutaline 1.25mg|Guaifenesin 2.5mg + Dextromethorphan Hydrobromide 5mg|Guaifenesin 50mg + Pseudoephedrine 15mg|Guaifenesin 100mg/5ml + Chlorpheniramine Maleate 4mg/5ml|Guaifenesin 2.5mg/5ml + Terbutaline 8mg/5ml|Guaifenesin 10mg + Dextromethorphan Hydrobromide 2mg|Guaifenesin 450mg + Terbutaline 8mg|Guaifenesin 100mg + Bromhexine 10mg|Guaifenesin 100mg + Terbutaline 2.5mg|Guaifenesin 80mg + Ammonium Chloride 100mg
5fdf2f9e-96f5-4442-9ac3-8b42d745e32c,Terbutaline,Terbutaline 5mg + Doxofylline 400mg|Terbutaline 1.25mg/5ml + Bromhexine 4mg/5ml|Terbutaline 1.25mg/5ml + Ambroxol 15mg/5ml|Terbutaline 1.25mg + Ambroxol 30mg|Terbutaline 12.5mg/5ml + Bromhexine 2mg/5ml|Terbutaline 1.5mg + Ambroxol 15mg|Terbutaline 1.25mg + Bromhexine 2mg|Terbutaline 1.25mg/5ml + Bromhexine 2mg/5ml|Terbutaline NA + Bromhexine NA|Terbutaline NA + Ambroxol NA|Terbutaline 2.5mg + Doxofylline 400mg|Terbutaline 5mg + Bromhexine 8mg|Terbutaline NA|Terbutaline 1.5mg/5ml + Bromhexine 4mg/5ml|Terbutaline 2.5mg + Bromhexine 8mg|Terbutaline 5mg|Terbutaline 1.25mg + Acebrophylline 50mg|Terbutaline 0.75mg/5ml + Ambroxol 7.5mg/5ml|Terbutaline 2.5mg + Bromhexine 4mg|Terbutaline 1.5mg/5ml + Ambroxol 15mg/5ml
ee26a985-9d68-4408-b323-8207010482cd,Lidocaine,Lidocaine 2% w/w|Lidocaine 21.33mg|Lidocaine NA|Lidocaine 0.2% w/v|Lidocaine 21.33mg/ml + Adrenaline 0.0225mg/ml|Lidocaine 2% w/v + Beclometasone 0.025% w/v|Lidocaine 21.30mg|Lidocaine 2% w/w + Zinc Carnosine 2% w/w|Lidocaine 1.4% w/v + Phenazone 5.4% w/v|Lidocaine 2.5% w/w + Prilocaine 2.5% w/w|Lidocaine 15% w/v|Lidocaine 2% w/v + Beclometasone 0.25% w/v|Lidocaine 2% w/v + Adrenaline 0.005mg|Lidocaine 5% w/v + Tannic Acid 2% w/v|Lidocaine 20mg/ml|Lidocaine 10% w/v|Lidocaine 7.5mg + Prilocaine 2.5mg|Lidocaine 0.33% w/w|Lidocaine 1.5% w/w + Nifedipine 0.3% w/w|Lidocaine 2% w/w + Beclometasone 0.025% w/w
32b58ba9-3441-439f-9f54-cecbfec61858,Nifedipine,Nifedipine 10mg|Nifedipine 30mg|Nifedipine 60mg|Nifedipine 20mg|Nifedipine NA|Nifedipine 5mg
b2299b80-f79c-4755-9c31-1260c725b4e8,Atorvastatin,Atorvastatin 10mg + Fenofibrate 10mg|Atorvastatin 40mg + Fenofibrate 160mg|Atorvastatin 10mg + Vitamin B3(Nicotinic Acid) 375mg|Atorvastatin 40mg + Aspirin 75mg|Atorvastatin 20mg + Ezetimibe 10mg|Atorvastatin 10mg + Fenofibrate 67mg|Atorvastatin 10mg + Ramipril 5mg|Atorvastatin 10mg + Vitamin D3 1000IU|Atorvastatin 10mg + Vitamin B6 (Pyridoxine) 20mg|Atorvastatin 20mg + Fenofibrate 135mg|Atorvastatin 20mg|Atorvastatin 5mg|Atorvastatin 40mg + Vitamin D3 1000IU|Atorvastatin 5mg + Fenofibrate 145mg|Atorvastatin 40mg|Atorvastatin 20 mg|Atorvastatin 20mg + Clopidogrel 75mg|Atorvastatin 20mg + Ezetimibe 20mg|Atorvastatin 40mg + Clopidogrel 75mg|Atorvastatin 60mg
d08a14e2-1fd3-4c0a-905b-df9086cec515,Sacubitril,Sacubitril 24mg + Valsartan 26mg|Sacubitril 97mg + Valsartan 103mg|Sacubitril 49mg + Valsartan 51mg
d6318db5-afc6-4fac-b7a3-0b8152299df7,Valsartan,Valsartan 40mg|Valsartan 80mg|Valsartan 160mg + Hydrochlorothiazide 12.5mg|Valsartan 20mg|Valsartan 80mg + Hydrochlorothiazide 12.5mg|Valsartan 160mg|Valsartan 160mg + Hydrochlorothiazide 25mg
